season,week,franchise_id,player_id,status,salary,contractYear,contractInfo,as_of
2025,15,0007,15385,INJURED_RESERVE,2.2,3,2025 oEXT,2025-12-13
2025,15,0007,14056,INJURED_RESERVE,22.18,3,2025 oEXT,2025-12-13
2025,15,0007,17098,INJURED_RESERVE,1.01,4,2025 4.10,2025-12-13
2025,15,0007,15391,INJURED_RESERVE,4.55,2,2024 UFA,2025-12-13
2025,15,0008,15346,ROSTER,11.52,2,2024 iEXT,2025-12-13
2025,15,0008,15817,ROSTER,13.96,4,2025 iEXT,2025-12-13
2025,15,0008,16187,ROSTER,1.8,2,2023 2.08,2025-12-13
2025,15,0008,16414,ROSTER,1.81,1,2023 iEXT,2025-12-13
2025,15,0008,15860,ROSTER,1.18,1,2022 4.14,2025-12-13
2025,15,0008,16689,ROSTER,1.8,3,2024 2.06,2025-12-13
2025,15,0008,15350,ROSTER,9.02,4,2024 iEXT,2025-12-13
2025,15,0008,14909,ROSTER,14.03,3,2024 UFA,2025-12-13
2025,15,0008,13592,ROSTER,22.71,3,2025 iEXT,2025-12-13
2025,15,0008,16671,ROSTER,1.03,3,2024 4.10,2025-12-13
2025,15,0008,16675,ROSTER,1.13,3,2024 3.17,2025-12-13
2025,15,0008,15861,ROSTER,5.39,3,2024 iEXT,2025-12-13
2025,15,0008,16383,ROSTER,0.98,1,2023 UDFA,2025-12-13
2025,15,0008,16679,ROSTER,1.25,3,2024 3.08,2025-12-13
2025,15,0008,10292,ROSTER,1.0,2,2025 R/F,2025-12-13
2025,15,0008,15081,ROSTER,1.1,1,2025 ERFA,2025-12-13
2025,15,0008,15256,ROSTER,5.5,1,2025 UFA,2025-12-13
2025,15,0008,13470,ROSTER,4.3,1,2025 UFA,2025-12-13
2025,15,0008,14137,ROSTER,2.0,1,2025 UFA,2025-12-13
2025,15,0008,14858,ROSTER,1.1,1,2025 UFA,2025-12-13
2025,15,0008,16013,ROSTER,1.0,2,2025 R/F,2025-12-13
2025,15,0008,16369,ROSTER,1.0,2,2025 R/F,2025-12-13
2025,15,0008,13810,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0008,14235,ROSTER,1.8,1,2025 UFA,2025-12-13
